mcts_task_by_completion_reward_gradient,1,2,10,186.205
mcts_task_by_completion_reward_gradient,1,2,10,359.809
mcts_task_by_completion_reward_gradient,1,2,10,13.9973,186.003
mcts_task_by_completion_reward_gradient,1,2,10,26.3979,359.605
mcts_task_by_completion_reward_gradient,1,2,10,13.9865,186.014
mcts_task_by_completion_reward_gradient,1,2,10,26.3852,359.628
mcts_task_by_completion_reward_gradient,3,2,10,5.0753,194.925
mcts_task_by_completion_reward_gradient,3,2,10,14.0869,380.838
mcts_task_by_completion_reward_gradient,3,2,10,26.475,554.363
mcts_task_by_completion_reward_gradient,3,2,10,31.9389,722.424
mcts_task_by_completion_reward_gradient,4,2,10,13.8154,186.185
mcts_task_by_completion_reward_gradient,5,2,10,13.945,186.055
mcts_task_by_completion_reward_gradient,6,2,10,13.9956,186.004
mcts_task_by_completion_reward_gradient,7,2,10,26.3974,173.603
mcts_task_by_completion_reward_gradient,7,2,10,72.279,301.324
mcts_task_by_completion_reward_gradient,8,2,10,1.19012,198.81
mcts_task_by_completion_reward_gradient,8,2,10,13.8228,384.987
mcts_task_by_completion_reward_gradient,8,2,10,13.8829,571.104
mcts_task_by_completion_reward_gradient,8,2,10,24.5901,746.514
mcts_task_by_completion_reward_gradient,9,2,10,1.20849,198.792
mcts_task_by_completion_reward_gradient,9,2,10,12.7992,385.992
mcts_task_by_completion_reward_gradient,1,2,10,26.3373,173.663
mcts_task_by_completion_reward_gradient,1,2,10,56.7784,316.884
mcts_task_by_completion_reward_gradient,1,2,10,13.8071,186.193
mcts_task_by_completion_reward_gradient,1,2,10,44.3972,341.796
mcts_task_by_completion_reward_gradient,3,2,10,26.383,173.617
mcts_task_by_completion_reward_gradient,3,2,10,38.9952,334.622
mcts_task_by_completion_reward_gradient,3,2,10,52.6549,481.967
mcts_task_by_completion_reward_gradient,3,2,10,61.6633,620.304
mcts_task_by_completion_reward_gradient,1,2,100,4.28139,195.719
mcts_task_by_completion_reward_gradient,1,2,100,7.00075,388.718
mcts_task_by_completion_reward_gradient,1,2,100,11.8007,576.917
mcts_task_by_completion_reward_gradient,1,2,100,17.5998,759.317
mcts_task_by_completion_reward_gradient,1,2,100,27.2006,932.117
mcts_task_by_completion_reward_gradient,1,2,100,28.8003,1103.32
mcts_task_by_completion_reward_gradient,1,2,100,35.4726,1267.84
mcts_task_by_completion_reward_gradient,1,2,100,37.8809,1429.96
mcts_task_by_completion_reward_gradient,1,2,100,41.8801,1588.08
mcts_task_by_completion_reward_gradient,1,2,100,48.6803,1739.4
mcts_task_by_completion_reward_gradient,1,2,100,57.0021,1882.4
mcts_task_by_completion_reward_gradient,1,2,100,84.6712,1997.73
mcts_task_by_completion_reward_gradient,1,2,10,13.807,186.193
mcts_task_by_completion_reward_gradient,1,2,10,26.3869,359.806
mcts_task_by_completion_reward_gradient,1,2,10,13.8047,186.195
mcts_task_by_completion_reward_gradient,1,2,10,44.3629,341.832
mcts_task_by_completion_reward_gradient,1,2,10,26.4003,173.6
mcts_task_by_completion_reward_gradient,1,2,10,56.7999,316.8
mcts_task_by_completion_reward_gradient,1,2,10,13.9945,186.006
mcts_task_by_completion_reward_gradient,1,2,10,26.3942,359.611
mcts_task_by_completion_reward_gradient,1,2,10,13.9938,186.006
mcts_task_by_completion_reward_gradient,1,2,10,26.3927,359.614
mcts_task_by_completion_reward_gradient,1,2,100,4.46808,195.532
mcts_task_by_completion_reward_gradient,1,2,100,4.797,390.735
mcts_task_by_completion_reward_gradient,1,2,100,7.26811,583.467
mcts_task_by_completion_reward_gradient,1,2,100,8.21745,775.249
mcts_task_by_completion_reward_gradient,1,2,100,12.467,962.782
mcts_task_by_completion_reward_gradient,1,2,100,15.3978,1147.38
mcts_task_by_completion_reward_gradient,1,2,100,20.6669,1326.72
mcts_task_by_completion_reward_gradient,1,2,100,24.3973,1502.32
mcts_task_by_completion_reward_gradient,1,2,100,34.598,1667.72
mcts_task_by_completion_reward_gradient,1,2,100,38.9979,1828.72
mcts_task_by_completion_reward_gradient,1,2,100,41.9974,1986.73
mcts_task_by_completion_reward_gradient,1,2,100,44.3976,2142.33
mcts_task_by_completion_reward_gradient,1,2,100,46.7968,2295.53
mcts_task_by_completion_reward_gradient,1,2,100,54.8755,2440.66
mcts_task_by_completion_reward_gradient,1,2,100,58.268,2582.39
mcts_task_by_completion_reward_gradient,1,2,100,80.7948,2701.59
mcts_task_by_completion_reward_gradient,1,2,100,85.9976,2815.6
